Date,Open,High,Low,Close,Adj Close,Volume
2015-07-27,26.629999,26.930000,26.290001,26.750000,24.015516,46800
2015-08-03,26.870001,27.354000,26.870001,27.250000,24.464405,11500
2015-08-10,27.420000,27.590000,26.330999,26.486000,23.778502,56300
2015-08-17,26.200001,26.299999,24.497999,24.552000,22.042202,51000
2015-08-24,23.350000,25.190001,22.850000,24.879999,22.336672,80900
2015-08-31,24.670000,24.874001,24.010000,24.129999,21.663340,31600
2015-09-07,24.660000,25.320000,24.660000,24.816999,22.280113,9100
2015-09-14,24.770000,25.430000,24.150000,24.150000,21.681293,9300
2015-09-21,24.110001,24.139999,22.813999,23.228001,20.853546,48700
2015-09-28,23.010000,23.430000,22.770000,23.430000,21.034899,54700
2015-10-05,23.796000,24.760000,23.670000,24.690001,22.166096,29800
2015-10-12,24.700001,24.780001,24.430000,24.763000,22.231630,5600
2015-10-19,24.879999,25.780001,24.719999,25.740000,23.108763,32400
2015-10-26,25.840000,25.920000,25.420000,25.641001,23.019882,10600
2015-11-02,25.959999,26.033001,25.350000,25.490000,22.884317,15700
2015-11-09,25.420000,25.420000,24.700001,24.768999,22.237019,10300
2015-11-16,24.770000,25.780001,24.770000,25.462000,22.859179,11100
2015-11-23,25.370001,25.900000,25.139999,25.830000,23.189562,6800
2015-11-30,25.910000,25.969999,25.139999,25.441000,22.840324,49100
2015-12-07,25.559999,25.559999,24.500000,24.500000,21.995518,9200
2015-12-14,24.400000,25.170000,24.219999,24.709999,22.184052,26300
2015-12-21,24.760000,25.200001,24.700001,25.170000,22.597029,8400
2015-12-28,25.020000,25.537001,24.719999,24.889999,22.416946,20700
2016-01-04,24.430000,24.430000,22.920000,22.940001,20.660694,21900
2016-01-11,23.190001,23.490000,22.100000,22.260000,20.048256,28800
2016-01-18,22.719999,22.818001,22.030001,22.818001,20.550817,7500
2016-01-25,22.820000,23.090000,22.600000,22.840000,20.570631,10000
2016-02-01,22.809999,22.950001,22.200001,22.200001,19.994223,16700
2016-02-08,21.809999,21.882000,21.290001,21.719999,19.561914,17500
2016-02-15,21.719999,22.770000,21.719999,22.429001,20.200468,4900
2016-02-22,22.629999,22.716000,21.715000,22.350000,20.129318,12700
2016-02-29,22.410000,23.280001,22.080000,23.219999,20.912874,8800
2016-03-07,23.000000,23.719999,22.855000,23.719999,21.363195,16900
2016-03-14,23.700001,24.100000,23.520000,24.052999,21.663107,12200
2016-03-21,24.049999,24.097000,23.650000,23.650000,21.300152,10600
2016-03-28,23.604000,24.532000,23.604000,23.990000,21.606369,10500
2016-04-04,24.089001,24.089001,23.260000,23.559999,21.219093,11300
2016-04-11,23.740000,24.350000,23.549999,24.230000,21.822521,9300
2016-04-18,24.396999,25.260000,24.379999,24.920000,22.443962,8300
2016-04-25,24.809999,24.900000,24.650000,24.681999,22.229614,5700
2016-05-02,24.889999,25.030001,23.920000,24.150000,21.750469,12100
2016-05-09,24.400000,24.448999,23.811001,23.820000,21.453259,13900
2016-05-16,23.910000,23.989000,23.389999,23.639999,21.291143,3400
2016-05-23,23.500000,24.465000,23.500000,24.400000,21.975630,5700
2016-05-30,24.469999,24.530001,24.309999,24.309999,21.894571,1600
2016-06-06,24.500000,24.889999,23.450001,23.455999,21.125425,17300
2016-06-13,23.299999,23.330999,22.480000,23.330999,21.012844,18300
2016-06-20,24.469999,24.929001,22.240000,22.410000,20.183357,64800
2016-06-27,22.080000,23.160000,21.510000,23.014999,20.838234,53200
2016-07-04,22.430000,22.549999,21.790001,22.549999,20.417212,14800
2016-07-11,22.940001,23.747999,22.940001,23.559999,21.331688,16700
2016-07-18,23.469999,23.799999,23.230000,23.590000,21.358849,5600
2016-07-25,23.820000,24.455999,23.643000,24.420000,22.110350,10600
2016-08-01,24.260000,24.450001,23.990000,24.329000,22.027954,10400
2016-08-08,24.469999,25.375000,24.420000,25.240000,22.852793,27200
2016-08-15,25.420000,25.490000,25.040001,25.250000,22.861849,17000
2016-08-22,25.250000,25.410000,24.809999,24.809999,22.463463,7700
2016-08-29,24.860001,25.209999,24.860001,25.190001,22.807522,5900
2016-09-05,25.139999,25.528999,24.900000,24.900000,22.544950,5600
2016-09-12,24.580000,24.959999,24.219999,24.219999,21.929264,19500
2016-09-19,24.410000,25.431999,24.410000,25.150000,22.771309,14900
2016-09-26,24.743999,25.000000,24.417000,25.000000,22.635492,19900
2016-10-03,24.790001,25.139999,24.670000,24.799999,22.454409,12100
2016-10-10,25.030001,25.035000,24.080000,24.590000,22.264271,17300
2016-10-17,24.420000,24.709999,24.410000,24.610001,22.282383,4200
2016-10-24,25.010000,25.010000,24.610001,24.700001,22.363867,10100
2016-10-31,24.650000,24.730000,24.020000,24.020000,21.748182,6600
2016-11-07,24.340000,24.750000,24.296000,24.440001,22.128456,12000
2016-11-14,24.139999,24.323000,23.840000,23.879999,21.621424,12700
2016-11-21,24.110001,24.110001,23.700001,23.809999,21.558043,12900
2016-11-28,23.740000,23.914000,23.600000,23.690001,21.449394,11200
2016-12-05,23.950001,25.180000,23.950001,25.039000,22.670805,37900
2016-12-12,25.000000,25.379999,24.910000,25.080000,22.707924,13100
2016-12-19,25.240000,25.240000,24.879999,24.921000,22.563963,18100
2016-12-26,24.790001,25.250000,24.770000,25.100000,23.019394,23800
2017-01-02,25.100000,25.549999,25.007999,25.450001,23.340382,23400
2017-01-09,25.309999,25.655001,25.219999,25.570000,23.450434,9100
2017-01-16,25.740000,25.920000,25.629999,25.870001,23.725565,27300
2017-01-23,25.811001,26.450001,25.770000,26.299999,24.119921,24200
2017-01-30,25.879999,26.299999,25.879999,26.025000,23.867718,14500
2017-02-06,25.879999,25.889000,25.600000,25.854000,23.710890,16800
2017-02-13,26.230000,26.230000,25.760000,25.990000,23.835619,18500
2017-02-20,26.100000,26.510000,25.900000,25.989000,23.834703,22000
2017-02-27,26.139999,26.540001,25.990000,26.509001,24.311598,8400
2017-03-06,26.580000,26.600000,26.200001,26.600000,24.395052,10100
2017-03-13,26.600000,27.110001,26.440001,27.031000,24.790329,14000
2017-03-20,26.900000,27.219999,26.750000,27.049999,24.807749,18800
2017-03-27,26.969999,27.365000,26.969999,27.330000,25.064541,16300
2017-04-03,27.350000,27.360001,26.853001,26.864000,24.637173,14100
2017-04-10,26.760000,26.868999,26.620001,26.620001,24.413397,7300
2017-04-17,26.809999,26.905001,26.598000,26.799999,24.578474,8200
2017-04-24,27.980000,28.316000,27.980000,28.080000,25.752375,14100
2017-05-01,28.680000,29.129999,28.230000,29.124001,26.709831,32200
2017-05-08,28.850000,28.969999,28.490999,28.830999,26.441122,16600
2017-05-15,28.920000,29.410999,28.690001,29.250000,26.825390,31600
2017-05-22,29.450001,29.540001,29.002001,29.111000,26.697908,16200
2017-05-29,29.450001,29.959999,29.087999,29.940001,27.458191,24800
2017-06-05,30.100000,30.100000,29.381001,29.580000,27.128035,31600
2017-06-12,29.510000,30.080000,29.167000,29.480000,27.036325,22500
2017-06-19,30.170000,30.170000,28.850000,28.870001,26.476889,50100
2017-06-26,29.260000,29.280001,28.600000,28.665001,26.785463,32400
2017-07-03,28.740000,28.799999,28.545000,28.770000,26.883581,18500
2017-07-10,28.770000,29.410000,28.740000,29.410000,27.481615,15600
2017-07-17,29.209999,29.490000,28.889999,28.940001,27.042433,24700
2017-07-24,28.900000,29.164000,28.740000,29.030001,27.126530,15600
2017-07-31,29.030001,29.430000,28.930000,29.350000,27.425550,40400
2017-08-07,29.330000,29.330000,28.530001,28.740000,26.855545,10500
2017-08-14,29.160000,29.240000,28.889999,28.969999,27.070463,44900
2017-08-21,29.000000,29.479000,28.889999,29.346001,27.421808,20800
2017-08-28,29.500000,29.500000,29.000000,29.273001,27.353598,24100
2017-09-04,29.469999,30.110001,29.205000,30.044001,28.074043,30500
2017-09-11,30.379999,30.490000,30.160000,30.349001,28.359045,19500
2017-09-18,30.520000,30.620001,30.410000,30.610001,28.602930,39300
2017-09-25,30.410000,30.799000,30.090000,30.721001,28.706654,39100
2017-10-02,30.740000,30.950001,30.669001,30.856001,28.832800,33000
2017-10-09,30.940001,31.330000,30.840000,31.170000,29.126213,18000
2017-10-16,31.469999,31.469999,30.990000,31.090000,29.051458,33500
2017-10-23,31.090000,31.348000,30.950001,31.080000,29.042112,29300
2017-10-30,31.260000,31.912001,31.209999,31.780001,29.696215,40200
2017-11-06,31.760000,31.780001,31.000000,31.058001,29.021557,26400
2017-11-13,30.840000,31.290001,30.670000,31.150000,29.107523,20300
2017-11-20,31.250000,31.680000,30.910999,31.680000,29.602772,193200
2017-11-27,31.430000,31.719999,31.051001,31.228001,29.180410,40300
2017-12-04,31.580000,31.580000,31.000000,31.459999,29.397194,28700
2017-12-11,31.469999,31.469999,31.142000,31.208000,29.161722,28600
2017-12-18,31.660000,31.940001,31.290001,31.417000,29.357018,22700
2017-12-25,31.510000,31.590000,31.340000,31.590000,29.518675,12600
2018-01-01,31.410000,32.599998,31.327000,32.596001,30.458710,45700
2018-01-08,32.750000,32.779999,32.160000,32.700001,30.555891,114300
2018-01-15,33.040001,33.450001,32.650002,33.450001,31.256712,24700
2018-01-22,33.570000,34.000000,33.341000,33.644001,31.437996,121100
2018-01-29,33.509998,33.528000,32.160000,32.160000,30.051298,58400
2018-02-05,32.000000,32.070000,29.670000,30.434000,28.438473,111700
2018-02-12,30.690001,31.549999,30.420000,31.549999,29.481297,47900
2018-02-19,31.230000,31.389999,30.889999,31.389999,29.331785,21800
2018-02-26,31.250000,31.420000,29.510000,30.070000,28.098339,114900
2018-03-05,30.139999,30.889999,29.915001,30.834999,28.813175,47400
2018-03-12,30.879999,31.030001,30.620001,30.809999,28.789816,11300
2018-03-19,30.719999,30.719999,29.540001,29.549999,27.612432,33600
2018-03-26,29.879999,30.240000,29.671000,30.240000,28.257191,27000
2018-04-02,30.260000,30.510000,29.469999,30.309999,28.322601,22100
2018-04-09,30.680000,31.049999,30.680000,31.049999,29.014080,10500
2018-04-16,31.080000,31.620001,31.080000,31.120001,29.079491,14500
2018-04-23,31.200001,31.200001,30.430000,30.940001,28.911293,11600
2018-04-30,30.780001,31.084000,30.410000,31.020000,28.986048,32700
2018-05-07,31.150000,31.429001,30.910000,31.340000,29.285067,8500
2018-05-14,31.356001,31.438999,30.871000,31.020000,28.986048,17100
2018-05-21,31.349001,31.400000,30.360001,30.430000,28.434732,18100
2018-05-28,29.850000,30.219999,29.410000,30.000000,28.032928,28600
2018-06-04,30.120001,30.594999,30.120001,30.420000,28.425390,17200
2018-06-11,30.370001,30.850000,30.360001,30.549999,28.546864,53900
2018-06-18,29.990000,30.110001,29.000000,29.360001,27.434893,21100
2018-06-25,28.959999,28.959999,28.070999,28.709999,27.145660,19100
2018-07-02,28.320000,29.250000,28.320000,29.219999,27.627872,14900
2018-07-09,29.370001,29.600000,28.920000,29.090000,27.504955,26200
2018-07-16,29.309999,29.680000,29.209999,29.370001,27.769697,25300
2018-07-23,29.270000,30.000000,29.240000,29.809999,28.185722,13500
2018-07-30,29.947001,29.950001,29.062000,29.200001,27.608963,15500
2018-08-06,29.010000,29.440001,28.200001,28.200001,26.663450,8700
2018-08-13,28.180000,28.299999,27.459999,28.059999,26.531076,19400
2018-08-20,28.190001,28.830000,28.190001,28.782000,27.213737,7100
2018-08-27,28.969999,29.379999,28.450001,28.450001,26.899830,16900
2018-09-03,28.240000,28.273001,27.500000,27.570000,26.067780,6900
2018-09-10,27.844999,28.360001,27.559999,28.180000,26.644539,20800
2018-09-17,28.219999,29.118000,28.129999,29.118000,27.531431,9500
2018-09-24,29.120001,29.120001,28.219999,28.490000,26.937647,13900
2018-10-01,28.650000,28.650000,27.740000,27.760000,26.247425,10100
2018-10-08,27.360001,27.510000,26.490000,26.490000,25.046621,10000
2018-10-15,26.850000,27.250000,26.350000,26.575001,25.126993,6400
2018-10-22,26.510000,26.510000,25.160000,25.615000,24.219299,9200
2018-10-29,25.840000,26.568001,25.500000,26.568001,25.120375,13700
2018-11-05,26.299999,26.600000,26.000000,26.100000,24.677874,11500
2018-11-12,25.780001,26.010000,25.396999,25.881001,24.470806,7300
2018-11-19,25.809999,25.809999,25.110001,25.299999,23.921463,14500
2018-11-26,25.670000,25.841000,25.459999,25.540001,24.148388,11900
2018-12-03,26.090000,26.090000,24.444000,24.444000,23.112106,20200
2018-12-10,24.299999,24.927999,24.190001,24.552999,23.215166,43300
2018-12-17,24.340000,24.780001,23.980000,24.000000,22.692299,33600
2018-12-24,23.650000,23.889999,23.410000,23.530001,22.247908,20700
2018-12-31,24.000000,24.188000,23.209999,24.188000,23.299749,18800
2019-01-07,24.180000,24.730000,24.042000,24.389999,23.494331,21900
2019-01-14,24.230000,24.980000,24.180000,24.979000,24.061701,6900
2019-01-21,24.700001,25.230000,24.309999,25.160000,24.236053,17700
2019-01-28,25.170000,25.170000,24.830000,25.042000,24.122389,11500
2019-02-04,24.879999,25.400000,24.190001,24.339001,23.445206,19700
2019-02-11,24.240000,25.000000,24.190001,25.000000,24.081930,9100
2019-02-18,24.879999,25.434999,24.879999,25.290001,24.361280,5800
2019-02-25,25.290001,25.952999,25.000000,25.872999,24.922871,6500
2019-03-04,25.910000,25.910000,25.191000,25.191000,24.265919,11800
2019-03-11,25.340000,25.910000,25.330999,25.907000,24.955626,11400
2019-03-18,25.959999,26.250000,25.120001,25.120001,24.197523,7400
2019-03-25,25.200001,25.389999,25.039000,25.389999,24.457609,53800
2019-04-01,25.709999,26.441999,25.645000,26.320000,25.353456,92300
2019-04-08,26.510000,26.658001,26.170000,26.600000,25.623175,9200
2019-04-15,26.570000,26.969999,26.542000,26.969999,25.979588,8900
2019-04-22,27.100000,27.100000,26.730000,26.969000,25.978624,47500
2019-04-29,26.959999,27.230000,26.868000,27.209999,26.210773,39600
2019-05-06,26.580000,26.929001,26.313000,26.639999,25.661705,13800
2019-05-13,26.080000,26.820000,26.059999,26.572001,25.596203,5200
2019-05-20,26.129999,26.445000,25.914000,26.054001,25.097227,10900
2019-05-27,26.166000,27.190001,25.374001,27.190001,26.191511,19200
2019-06-03,25.660000,26.600000,25.650000,26.540001,25.565380,26900
2019-06-10,26.610001,26.886999,26.358999,26.363001,25.394878,5800
2019-06-17,26.429001,27.260000,26.429001,27.150000,26.152977,10800
2019-06-24,27.233000,27.233000,26.450001,26.500000,25.526846,13300
2019-07-01,27.049999,27.202999,26.740000,26.740000,26.432383,7500
2019-07-08,26.790001,26.790001,26.344999,26.344999,26.041927,7800
2019-07-15,26.490000,26.601000,26.010000,26.270000,25.967791,10300
2019-07-22,26.209999,26.653000,26.129999,26.129999,25.829401,25900
2019-07-29,26.340000,26.410000,25.270000,25.528000,25.234327,11000
2019-08-05,24.820000,25.305000,24.622999,25.150000,24.860674,19000
2019-08-12,24.941999,25.059000,24.047001,24.370001,24.089649,10100
2019-08-19,24.760000,24.913000,24.546000,24.656000,24.372358,7500
2019-08-26,24.620001,25.228001,24.459999,25.219999,24.929869,19600
