Date,Open,High,Low,Close,Adj Close,Volume
2019-07-29,390.380005,392.559998,389.769989,390.850006,390.850006,172729800
2019-07-30,390.420013,390.700012,384.459991,385.109985,385.109985,226829600
2019-07-31,384.950012,386.339996,384.470001,385.769989,385.769989,238227700
2019-08-02,385.720001,385.720001,377.309998,378.149994,378.149994,268689500
2019-08-05,376.739990,376.739990,368.649994,369.429993,369.429993,263606600
2019-08-06,369.070007,371.980011,367.559998,367.709991,367.709991,200723900
2019-08-07,368.079987,371.700012,365.989990,368.600006,368.600006,216032100
2019-08-08,370.019989,374.709991,370.019989,374.709991,374.709991,190009500
2019-08-09,374.730011,374.970001,371.109985,371.559998,371.559998,220401000
2019-08-12,372.089996,375.350006,370.079987,370.410004,370.410004,168007700
2019-08-13,370.119995,374.209991,367.170013,372.399994,372.399994,224926500
2019-08-14,372.739990,372.799988,364.959991,366.160004,366.160004,231321300
2019-08-15,366.279999,367.029999,361.070007,365.089996,365.089996,232058900
2019-08-16,365.309998,369.950012,365.309998,369.630005,369.630005,240284700
2019-08-19,370.429993,374.170013,370.429993,373.859985,373.859985,177666500
2019-08-20,373.869995,375.170013,371.059998,371.299988,371.299988,182073700
2019-08-21,371.609985,376.369995,371.609985,375.799988,375.799988,152871000
2019-08-22,375.320007,376.690002,373.429993,374.290009,374.290009,176995100
2019-08-23,374.899994,376.519989,371.359985,371.359985,371.359985,175734700
2019-08-26,370.570007,372.230011,369.079987,371.279999,371.279999,73312000
2019-08-27,371.369995,374.369995,370.059998,373.619995,373.619995,209015700
2019-08-28,373.480011,373.480011,369.859985,372.859985,372.859985,174336600
2019-08-29,372.410004,377.170013,371.940002,376.739990,376.739990,194338500
2019-08-30,376.760010,380.579987,376.760010,379.480011,379.480011,197014500
2019-09-02,379.880005,382.089996,379.880005,380.690002,380.690002,123004500
2019-09-03,380.399994,380.399994,378.149994,379.809998,379.809998,160857200
2019-09-04,380.859985,384.410004,380.859985,383.179993,383.179993,192143200
2019-09-05,383.750000,386.109985,383.750000,385.920013,385.920013,210410200
2019-09-06,386.000000,387.140015,385.359985,387.140015,387.140015,189282100
2019-09-09,387.119995,387.920013,385.440002,386.059998,386.059998,198146300
2019-09-10,386.089996,386.480011,383.790009,386.440002,386.440002,271531200
2019-09-11,386.600006,389.820007,386.600006,389.709991,389.709991,236874900
2019-09-12,389.929993,392.739990,388.130005,390.480011,390.480011,237982200
2019-09-13,390.290009,392.290009,389.929993,391.790009,391.790009,244894900
2019-09-16,391.140015,391.140015,389.130005,389.529999,389.529999,224996500
2019-09-17,389.440002,389.730011,387.660004,389.329987,389.329987,207733500
2019-09-18,389.029999,390.160004,388.609985,389.410004,389.410004,180516700
2019-09-19,389.350006,392.029999,388.899994,391.799988,391.799988,188672800
2019-09-20,392.829987,393.670013,391.899994,392.950012,392.950012,425274900
2019-09-23,392.399994,392.420013,388.709991,389.799988,389.799988,170834100
2019-09-24,390.369995,390.959991,389.640015,389.839996,389.839996,161979400
2019-09-25,389.140015,389.140015,384.179993,387.589996,387.589996,186402600
2019-09-26,387.029999,390.739990,386.910004,389.950012,389.950012,174951800
2019-09-27,390.369995,392.489990,390.369995,391.790009,391.790009,0
2019-09-30,391.640015,393.570007,391.040009,393.149994,393.149994,180739400
2019-10-01,393.350006,394.690002,387.790009,387.989990,387.989990,204808700
2019-10-02,387.709991,387.709991,377.519989,377.519989,377.519989,224777600
2019-10-03,377.059998,378.429993,374.660004,377.459991,377.459991,170773600
2019-10-04,377.600006,380.220001,376.709991,380.220001,380.220001,176109900
2019-10-07,380.130005,383.109985,379.540009,382.910004,382.910004,146527300
2019-10-08,383.209991,383.519989,378.429993,378.709991,378.709991,174854600
2019-10-09,378.470001,381.750000,377.940002,380.299988,380.299988,156951100
2019-10-10,380.489990,383.549988,378.179993,382.760010,382.760010,194967200
2019-10-11,384.140015,391.609985,383.709991,391.609985,391.609985,310829400
2019-10-14,390.809998,390.809998,387.089996,389.690002,389.690002,171175600
2019-10-15,390.559998,395.070007,390.559998,394.019989,394.019989,243560900
2019-10-16,393.850006,394.600006,392.250000,393.459991,393.459991,241969100
2019-10-17,392.940002,396.859985,392.230011,393.079987,393.079987,256881500
2019-10-18,392.809998,393.459991,391.320007,391.839996,391.839996,210704700
2019-10-21,392.109985,394.730011,391.920013,394.220001,394.220001,200954600
2019-10-22,394.109985,394.829987,392.589996,394.589996,394.589996,185676800
2019-10-23,393.589996,395.290009,392.820007,395.029999,395.029999,195789900
2019-10-24,395.529999,397.779999,395.529999,397.369995,397.369995,215257400
2019-10-25,397.190002,398.019989,395.660004,398.010010,398.010010,163726700
2019-10-28,398.049988,399.779999,397.170013,398.989990,398.989990,168790700
2019-10-29,398.899994,398.899994,396.859985,398.369995,398.369995,187411700
2019-10-30,398.000000,398.700012,396.500000,398.700012,398.700012,200763400
2019-10-31,399.149994,399.880005,395.730011,396.750000,396.750000,231643700
2019-11-01,397.339996,399.859985,397.339996,399.429993,399.429993,153115500
2019-11-04,400.140015,403.989990,400.140015,403.410004,403.410004,190169500
2019-11-05,403.549988,404.649994,402.820007,404.230011,404.230011,208785500
2019-11-06,404.010010,405.230011,403.040009,405.070007,405.070007,193317500
2019-11-07,405.369995,406.940002,405.369995,406.559998,406.559998,208608200
2019-11-08,406.019989,406.100006,404.459991,405.420013,405.420013,200720300
2019-11-11,404.920013,405.640015,403.059998,405.339996,405.339996,189148600
2019-11-12,405.559998,407.630005,405.190002,406.899994,406.899994,201186000
2019-11-13,406.570007,406.570007,403.529999,405.859985,405.859985,201172300
2019-11-14,405.709991,406.000000,404.380005,404.410004,404.410004,183436800
2019-11-15,405.209991,406.739990,403.510010,406.040009,406.040009,192312200
2019-11-18,406.339996,407.160004,404.690002,405.989990,405.989990,181006900
2019-11-19,406.179993,409.239990,404.799988,405.500000,405.500000,172925800
